,No,Tweet,Comment,Domain,Label
19,20,luhut minta beda karantina jabat dan orang biasa tak masalah,mana mungkin laksana karantina beda sesuai status ini bodoh yang sangat dasar virus serang manusia bukan rakyat atau jabat bagaimana kelola negara bisa benar jika dasar pikir salah,Law,Contra
20,21,luhut minta beda karantina jabat dan orang biasa tak masalah,lucu nih adil bagi seluruh rakyat indonesia nya mana pak jng beda2kan dong,Law,Contra
21,22,luhut minta beda karantina jabat dan orang biasa tak masalah,klw tu klen ga bleh di masa ka n apa korona ne milih2 org,Law,Contra Sarcasm
22,23,luhut minta beda karantina jabat dan orang biasa tak masalah,arti corona yg kena jabat sama yg kena orang bukan jabat beda ya jenisnyakok bs pinter bngts virusnyabs beda karantina nya jggue makin bngung,Law,Contra Sarcasm
23,24,luhut minta beda karantina jabat dan orang biasa tak masalah,berita baru tapi foto lama media tdk disiplin dalam saji berita,Law,Uncorrelated
24,25,luhut minta beda karantina jabat dan orang biasa tak masalah,bagi kalian yg biadab manfaat issue pandemi untuk penting pribadi dan kelompok ingat bahwa telah tidak jabat nanti kalian akan alami karantina bertahuntahun dan sangat tidak masalah oleh masyarakat,Law,Neutral
25,26,luhut minta beda karantina jabat dan orang biasa tak masalah,padahal segala warga negara sama duduk di dalam pandemi dan wajib junjung pandemi itu dengan tidak ada kecuali,Law,Contra
26,27,luhut minta beda karantina jabat dan orang biasa tak masalah,emojiemojiemoji,Law,Uncorrelated
27,28,luhut minta beda karantina jabat dan orang biasa tak masalah,hukum indonesia yaitu hukum kecuali,Law,Uncorrelated
28,29,luhut minta beda karantina jabat dan orang biasa tak masalah,sekarepmulah,Law,Neutral
29,30,luhut minta beda karantina jabat dan orang biasa tak masalah,wooo cocote,Law,Contra
30,31,luhut minta beda karantina jabat dan orang biasa tak masalah,ya masalah ada varian baru lah,Law,Uncorrelated
31,32,luhut minta beda karantina jabat dan orang biasa tak masalah,kepala atok kau lah,Law,Contra
32,33,luhut minta beda karantina jabat dan orang biasa tak masalah,hut luhutemojiemojiemojiemoji,Law,Uncorrelated
33,34,luhut minta beda karantina jabat dan orang biasa tak masalah,adil sosial bagi seluruh jabat indonesia,Law,Contra Sarcasm
34,35,luhut minta beda karantina jabat dan orang biasa tak masalah,opung makin banyak bisnis makin pikun,Law,Uncorrelated
35,36,luhut minta beda karantina jabat dan orang biasa tak masalah,kata pancasila kata nkri tp kok ada beda tdk mau masalah piye to jal,Law,Contra
36,37,luhut minta beda karantina jabat dan orang biasa tak masalah,iyaaah da saya mah hanya orang biasa,Law,Neutral
37,38,luhut minta beda karantina jabat dan orang biasa tak masalah,smoga cepat sembuh pak luhut,Law,Uncorrelated
38,39,luhut minta beda karantina jabat dan orang biasa tak masalah,orang biasa,Law,Contra Sarcasm
39,40,luhut minta beda karantina jabat dan orang biasa tak masalah,woiiiiiii,Law,Contra
40,41,luhut minta beda karantina jabat dan orang biasa tak masalah,loh buka kita negara demokrasi ya rakyat pegang kuasa tinggi loh gimana sih bapak,Law,Contra
41,42,luhut minta beda karantina jabat dan orang biasa tak masalah,sama rakyatkeadilan sosial bagi rakyat indonesia,Law,Contra
42,43,luhut minta beda karantina jabat dan orang biasa tak masalah,sesuai kasta,Law,Contra Sarcasm
43,44,luhut minta beda karantina jabat dan orang biasa tak masalah,kuasa tinggi ada di tangan rakyat emoji kuasa tinggi ada di tangan luhut emoji,Law,Contra Sarcasm
44,45,luhut minta beda karantina jabat dan orang biasa tak masalah,iya bener itu pak sama2 mahluk tuhan harus gk perlu masalah dan kalo bisa gaji jabat dan rakyat juga gk beda pak biar gk jadi masalah,Law,Contra
45,46,luhut minta beda karantina jabat dan orang biasa tak masalah,kalo gitu lu ganti dulu sila k 5 dr pancasila,Law,Contra
46,47,luhut minta beda karantina jabat dan orang biasa tak masalah,jgn sampai tragedi kelam 98 ulang lagi karena lihat laku jabat seperti ini kelakuanlawak,Law,Contra
47,48,luhut minta beda karantina jabat dan orang biasa tak masalah,kemanusian yang adil dan adab adil bagi seluruh rakyat indonesia nak menawi bapak lupa bunyi sila nanti terap dalam hidup sehari2 boleh cari di buku tematik sd lagi pak sy ngajarin ke siswa boleh bilang ini salah satu simpang ya pak suwun emoji,Law,Contra
48,49,luhut minta beda karantina jabat dan orang biasa tak masalah,emang kenapa kalo masalah mau marah marah lagi gara gara kritik payah jabat baperan,Law,Contra
49,50,luhut minta beda karantina jabat dan orang biasa tak masalah,tak lu,Law,Contra
50,51,luhut minta beda karantina jabat dan orang biasa tak masalah,makanya jadi jabat biar idup loe makin ajib,Law,Neutral
51,52,luhut minta beda karantina jabat dan orang biasa tak masalah,hih,Law,Contra
52,53,luhut minta beda karantina jabat dan orang biasa tak masalah,lho masalah dong pak,Law,Contra
53,54,luhut minta beda karantina jabat dan orang biasa tak masalah,orang kapitalis ini dah bener2 lupa ada sila lima,Law,Contra
54,55,luhut minta beda karantina jabat dan orang biasa tak masalah,oh,Law,Neutral
55,56,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat bukan orang biasa trus jabat itu apa,Law,Contra Sarcasm
56,57,luhut minta beda karantina jabat dan orang biasa tak masalah,jendral dengan prajurit memang beda lanjut,Law,Pro
57,58,luhut minta beda karantina jabat dan orang biasa tak masalah,beda itu ada supaya tidak ada ada tolong jangan masalah jelas ya,Law,Pro
58,59,luhut minta beda karantina jabat dan orang biasa tak masalah,kata negara pancasila,Law,Contra
59,60,luhut minta beda karantina jabat dan orang biasa tak masalah,kaya nya negara ini harus dirukiyah ulang,Law,Uncorrelated
60,61,luhut minta beda karantina jabat dan orang biasa tak masalah,main hebat,Law,Uncorrelated
61,62,luhut minta beda karantina jabat dan orang biasa tak masalah,aneh uud45 tiap warganegara sama duduk dalm hukum dan perintah,Law,Contra
62,63,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat manusia luar biasa emojiemojiemoji,Law,Contra Sarcasm
63,64,luhut minta beda karantina jabat dan orang biasa tak masalah,adil emoji,Law,Contra Sarcasm
64,65,luhut minta beda karantina jabat dan orang biasa tak masalah,sak karepmulah ngab lha wong negara saat ini seperti milik saja mau ngatur ini itu lha yo monggo gak urus,Law,Neutral
65,66,luhut minta beda karantina jabat dan orang biasa tak masalah,kontol,Law,Contra
66,67,luhut minta beda karantina jabat dan orang biasa tak masalah,ya masalah pak kok enak ngatur pikir orang,Law,Contra
67,68,luhut minta beda karantina jabat dan orang biasa tak masalah,pakpol nyari apa kagak bd kalah gt,Law,Uncorrelated
68,69,luhut minta beda karantina jabat dan orang biasa tak masalah,asek biar si opung bisa bebad,Law,Uncorrelated
69,70,luhut minta beda karantina jabat dan orang biasa tak masalah,siap ndoro,Law,Pro
70,71,luhut minta beda karantina jabat dan orang biasa tak masalah,bu mention,Law,Uncorrelated
71,72,luhut minta beda karantina jabat dan orang biasa tak masalah,negara kok gin amat laku ke warga ya sampai dibedabeda emoji,Law,Contra
72,73,luhut minta beda karantina jabat dan orang biasa tak masalah,masalah,Law,Contra
73,74,luhut minta beda karantina jabat dan orang biasa tak masalah,iya pak iya,Law,Neutral
74,75,luhut minta beda karantina jabat dan orang biasa tak masalah,anda pun jangan masalah kalau rakyat nyinyirin kuasa jangan enak di ente gak enak di rakyat,Law,Contra
75,76,luhut minta beda karantina jabat dan orang biasa tak masalah,adil sosial bagi seluruh rakyat indonesia,Law,Contra Sarcasm
76,77,luhut minta beda karantina jabat dan orang biasa tak masalah,beda kasta,Law,Contra Sarcasm
77,78,luhut minta beda karantina jabat dan orang biasa tak masalah,ga gitu dong ngen,Law,Contra
78,79,luhut minta beda karantina jabat dan orang biasa tak masalah,virus dah kenal jabat,Law,Contra Sarcasm
79,80,luhut minta beda karantina jabat dan orang biasa tak masalah,hahahhahaha lucu,Law,Neutral
80,81,luhut minta beda karantina jabat dan orang biasa tak masalah,ya masalah dong karena isterisuami serta anak dan kerabat juga dapat fasilitas yg sama,Law,Contra
81,82,luhut minta beda karantina jabat dan orang biasa tak masalah,orang biasahahahabeda kasta,Law,Contra Sarcasm
82,83,luhut minta beda karantina jabat dan orang biasa tak masalah,hancur negriku ini kamu tau nggak luhut jabat tidak kerja tahun aja gak bakal ambruk negri ini coba kalau usaha yg punya karyawan ribu bakal kocar kacir karyawannya,Law,Contra
83,84,luhut minta beda karantina jabat dan orang biasa tak masalah,karena opung tahu bahwa virus bisa pilih2 korban,Law,Contra Sarcasm
84,85,luhut minta beda karantina jabat dan orang biasa tak masalah,apa krn beda virus,Law,Contra Sarcasm
85,86,luhut minta beda karantina jabat dan orang biasa tak masalah,hmmmm,Law,Uncorrelated
86,87,luhut minta beda karantina jabat dan orang biasa tak masalah,karena lagi kuasa ya pak,Law,Neutral
87,88,luhut minta beda karantina jabat dan orang biasa tak masalah,masalah kok tak di masalah,Law,Contra
88,89,luhut minta beda karantina jabat dan orang biasa tak masalah,akan tetap masalah krn virus sama malah jabat bawa sakit lbh banyak percumalaporpolisi,Law,Contra
89,90,luhut minta beda karantina jabat dan orang biasa tak masalah,justru d awal covid ada walikota di indonesia yg bawa covid dr turki sampe dokter pribadi tinggal kena dr dia jg,Law,Contra
90,91,luhut minta beda karantina jabat dan orang biasa tak masalah,telat punk sdh viral duluan emoji,Law,Neutral
91,92,luhut minta beda karantina jabat dan orang biasa tak masalah,bu mention cnn bisa aja buat judul trus ngasih foto yg pas pak luhut sdg bcara ke ibupengen dkitikin kyx cnn ini bu,Law,Uncorrelated
92,93,luhut minta beda karantina jabat dan orang biasa tak masalah,tangkapmafiakarantina tangkapmafiavaksin,Law,Uncorrelated
93,94,luhut minta beda karantina jabat dan orang biasa tak masalah,atur aja big boss,Law,Pro
94,95,luhut minta beda karantina jabat dan orang biasa tak masalah,kapan kalian pahamemojiemojiemoji mobilitas dan carbon footprint yg mau rangin itu kamu elites tetap boleh traveling leluasa jabat atlet artis dll dkk dsb udah 2 tahun bangun,Law,Uncorrelated
95,96,luhut minta beda karantina jabat dan orang biasa tak masalah,covid gak pandang jabat lord,Law,Contra
96,97,luhut minta beda karantina jabat dan orang biasa tak masalah,wartawan yg interview beda divisi mention,Law,Uncorrelated
97,98,luhut minta beda karantina jabat dan orang biasa tak masalah,dari ptosedur nya saja sudah salah kesana ya banyak masalah,Law,Contra
98,99,luhut minta beda karantina jabat dan orang biasa tak masalah,mantab ya bong yg begini mah ga perlu soal fokus sumur resap aja emoji,Law,Contra Sarcasm
99,100,luhut minta beda karantina jabat dan orang biasa tak masalah,masih lama ya 2024,Law,Uncorrelated
100,101,luhut minta beda karantina jabat dan orang biasa tak masalah,tki yg pulang dr luar negeri pun harus beri tempat khusus mereka juga jabat kerja lintas batas emoji,Law,Uncorrelated
101,102,luhut minta beda karantina jabat dan orang biasa tak masalah,mungkin jabat kalo kena virus ijin dlu virus,Law,Contra Sarcasm
102,103,luhut minta beda karantina jabat dan orang biasa tak masalah,hahaha sakit bisa milih2 nyata,Law,Contra Sarcasm
103,104,luhut minta beda karantina jabat dan orang biasa tak masalah,dah mulai pakai kasta kasta macam negara hindu sana,Law,Neutral
104,105,luhut minta beda karantina jabat dan orang biasa tak masalah,ini masalah standar aman sehat nasional bukan soal iri dengan jabat siapa yang butuh iri dengan jabat tak jelas tanya apakah luhut sedia penjara jika kelak bukti virus covid sebar lewat karantina mandiri jabat dan sohor,Law,Pro
105,106,luhut minta beda karantina jabat dan orang biasa tak masalah,serah dah,Law,Neutral
106,107,luhut minta beda karantina jabat dan orang biasa tak masalah,gak akan saya beda2kan jika jabat karantina di rumah sakit dan rakyat di hotel macem2 aja ni orang lupa apa ya sama pancasila kata paling pancasilais,Law,Contra Sarcasm
107,108,luhut minta beda karantina jabat dan orang biasa tak masalah,otak cebong tolol emang gitu dah biar dapet jabat dungu gak ilang ilang,Law,Contra
108,109,luhut minta beda karantina jabat dan orang biasa tak masalah,mungkin virus beda ya pak,Law,Contra Sarcasm
109,110,luhut minta beda karantina jabat dan orang biasa tak masalah,maaf pak memang jabat ini spesies apa ya apakah wajib lindung keberadaanya sampai urus karantina aja harus beda,Law,Contra Sarcasm
110,111,luhut minta beda karantina jabat dan orang biasa tak masalah,s7 klo jabat ama wong cilik wajib di beda karantina nya,Law,Pro
111,112,luhut minta beda karantina jabat dan orang biasa tak masalah,apa yg tidak masalah bacot doang apagunanya bentuk bpip bahkan sampai riset pun harus dasar pancasila tapi laku jabat tebang pilih,Law,Contra
112,113,luhut minta beda karantina jabat dan orang biasa tak masalah,padahal di pancasila dan uud 45 ada sama dalam hukum semua warga negara harus taat hukum rezim anti pancasila dan anti uudkonstitusi ri kayak,Law,Contra
113,114,luhut minta beda karantina jabat dan orang biasa tak masalah,2024 kynya lama bner dah mules gw,Law,Uncorrelated
114,115,luhut minta beda karantina jabat dan orang biasa tak masalah,siap pak nanti juga klo sdh kasus membludak yg salah rakyat kecil bukan jabat ya kan,Law,Contra Sarcasm
115,116,luhut minta beda karantina jabat dan orang biasa tak masalah,emang virus pilih2,Law,Contra
116,117,luhut minta beda karantina jabat dan orang biasa tak masalah,masalah lah opung virus ga kenal strata sosial dan ekonomi justru mereka lebih rentan karena lebih banyak ketemu org,Law,Contra
117,118,luhut minta beda karantina jabat dan orang biasa tak masalah,lalu kire2 apa yang cocok yang bise dipermasalahin di negeri ini ya opung,Law,Neutral
118,119,luhut minta beda karantina jabat dan orang biasa tak masalah,virus skg lebih selektif bisa pilih mana jabat mana rakyat klo yg nyerang rakyat virusny lbih ganas shngga karantinay harus lama klo pjbat virus jinak,Law,Contra Sarcasm
119,120,luhut minta beda karantina jabat dan orang biasa tak masalah,haadeuuhhhenak tenan jadi jabat padahal mereka di pilih oleh rakyat makan gaji dari uang rakyat telah jadi jabat laku rakyatberbeda dgn mereka nyadaaaarrrrgitu yaaamereka di gaji oleh rakyat,Law,Contra
120,121,luhut minta beda karantina jabat dan orang biasa tak masalah,terjemah orang biasa ga usah bnyak bicara,Law,Neutral
121,122,luhut minta beda karantina jabat dan orang biasa tak masalah,resiko dan ancam sama knp harus beda,Law,Contra
122,123,luhut minta beda karantina jabat dan orang biasa tak masalah,kalo gitu jangan masalah rakyat yg gak vaksin,Law,Neutral
123,124,luhut minta beda karantina jabat dan orang biasa tak masalah,adil sosial bagi seluruh rakyat indonesia pancasila apakabar,Law,Contra Sarcasm
124,125,luhut minta beda karantina jabat dan orang biasa tak masalah,halah,Law,Neutral
125,126,luhut minta beda karantina jabat dan orang biasa tak masalah,selalu begitu,Law,Neutral
126,127,luhut minta beda karantina jabat dan orang biasa tak masalah,emang virus juga beda jabat atau bukan logika apa sih begini kok sampe keluar dari jabat negara,Law,Contra
127,128,luhut minta beda karantina jabat dan orang biasa tak masalah,yg dimasalahin otak lu,Law,Contra
128,129,luhut minta beda karantina jabat dan orang biasa tak masalah,the real pleciden,Law,Uncorrelated
129,130,luhut minta beda karantina jabat dan orang biasa tak masalah,padahal jabat itu pilih oleh presiden sedang presiden pilih oleh orang biasa arti orang biasa jauh lebih prioritas dari jabat emoji,Law,Contra
130,131,luhut minta beda karantina jabat dan orang biasa tak masalah,ga usah balas tunjuk masalah lolos sang jabat itu ga karantina kuat bgt pengaruh tuh jabat ampe kelas lord ga bisa apa2,Law,Neutral
131,132,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat golek enake dewe,Law,Neutral
132,133,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat itu apa dia manusia bukan orabg biasa itu lbh punya sopan santundari pd jabat hnysebuah semat kata kok bs ada kata jabat dan orang biasa arti jabat bukanmanusia,Law,Contra
133,134,luhut minta beda karantina jabat dan orang biasa tak masalah,ya kl yg bilang luhut sapa yg mau ng3bantah,Law,Contra Sarcasm
134,135,luhut minta beda karantina jabat dan orang biasa tak masalah,mungkin monyet itu yg bicara,Law,Contra Sarcasm
135,136,luhut minta beda karantina jabat dan orang biasa tak masalah,audit luhut soal bisnis covid waspada3periodeberlanjut,Law,Uncorrelated
136,137,luhut minta beda karantina jabat dan orang biasa tak masalah,terus aja gilir ada ketidakadilan bilang tidak usah masalah virus kenal sekat kasta manusia,Law,Contra
137,138,luhut minta beda karantina jabat dan orang biasa tak masalah,minta mulul lu hut gak punya malu,Law,Contra
138,139,luhut minta beda karantina jabat dan orang biasa tak masalah,kau kira virus bsa pilih2 mna jabat ma rang biasa,Law,Contra
139,140,luhut minta beda karantina jabat dan orang biasa tak masalah,tentu saja hrs tanya pak apakah rakyat biasa bukan warga negara indonesia,Law,Contra
140,141,luhut minta beda karantina jabat dan orang biasa tak masalah,adil sosial bagi seluruh rakyat indonesia,Law,Contra Sarcasm
141,142,luhut minta beda karantina jabat dan orang biasa tak masalah,dia lagiemojiemojiemoji,Law,Neutral
142,143,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat korupt tidak lebih baik dari rakyat jelata yg jujur mengapa mereka minta pisah saat jalan karantina seakanakan jabat itu lbh terhomat,Law,Contra
143,144,luhut minta beda karantina jabat dan orang biasa tak masalah,apa bijak kami minta perintah dapat tekan covid 19 maksimal mungkin agar sejahtera masyarakat dapat jaga dgn baik kerja serius lebih baik dari polemik dan wacana saja,Law,Neutral
144,145,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat asbun bukan syukur di ingatin supaya bisa cari solusi malah ngeles kayak eek,Law,Uncorrelated
145,146,luhut minta beda karantina jabat dan orang biasa tak masalah,iya sdh lah jgn diramein lagi gak guna bener sikk kan jabat lebih kuat dr rakyat jelata dan juga lbh imun dr sakit bener gak lord cibay,Law,Contra Sarcasm
146,147,luhut minta beda karantina jabat dan orang biasa tak masalah,heraan aja sptnya opung ini balas dendam ktk di era orba singkir,Law,Uncorrelated
147,148,luhut minta beda karantina jabat dan orang biasa tak masalah,skrg syahwat ingin aku sbg king maker lg on emoji,Law,Uncorrelated
148,149,luhut minta beda karantina jabat dan orang biasa tak masalah,klo dua2nya mmbawa virus satu jabat satu rakyat biasaartinya dua2nya berbahya knpa hrus d bedkan pak,Law,Contra
149,150,luhut minta beda karantina jabat dan orang biasa tak masalah,yang gaji jabat siapa hut,Law,Uncorrelated
150,151,luhut minta beda karantina jabat dan orang biasa tak masalah,ya masalah lah pertama sama sama orang dua yang serang omicron itu orang,Law,Contra
151,152,luhut minta beda karantina jabat dan orang biasa tak masalah,klo jabat mental jajah jgn harap rakyat lepas dari predikat lengkap derita,Law,Contra
152,153,luhut minta beda karantina jabat dan orang biasa tak masalah,inti nanti klo 2024 cari rezim lain aja jangan model rezim yg gin banyak gaduh,Law,Uncorrelated
153,154,luhut minta beda karantina jabat dan orang biasa tak masalah,harus masalah pak luhutkarna pertama kali korona yg serang kan jabat sama orang kayabaru ke rakyat jelata by suara teka i,Law,Contra
154,155,luhut minta beda karantina jabat dan orang biasa tak masalah,adil sosial bagi seluruh rakyat indonesia opung,Law,Contra Sarcasm
155,156,luhut minta beda karantina jabat dan orang biasa tak masalah,karena virus nya beda emojiemojiemojiemojiemojiemojiemojiemojiemojiemojiemoji,Law,Contra Sarcasm
156,157,luhut minta beda karantina jabat dan orang biasa tak masalah,jangan ada dusta dan diskriminasi antara kita,Law,Neutral
157,158,luhut minta beda karantina jabat dan orang biasa tak masalah,kasi masyarakat indonesia dah di suruh nanggung beban hidup sendiri masih juga nanggung beban hidup jabat,Law,Contra Sarcasm
158,159,luhut minta beda karantina jabat dan orang biasa tak masalah,benar media cnn ini buat gaduh,Law,Uncorrelated
159,160,luhut minta beda karantina jabat dan orang biasa tak masalah,harus sama saja supaya tidak ada kasta,Law,Contra
160,161,luhut minta beda karantina jabat dan orang biasa tak masalah,sudah pada bejat jabat era jokowi,Law,Contra
161,162,luhut minta beda karantina jabat dan orang biasa tak masalah,klo presiden dan wakil beda oke lahtp pejabat2 bawah itu lo minta beda,Law,Contra
162,163,luhut minta beda karantina jabat dan orang biasa tak masalah,opung bujang,Law,Uncorrelated
163,164,luhut minta beda karantina jabat dan orang biasa tak masalah,ngebacot lu sambil ngga pake maskerkwkkwww,Law,Uncorrelated
164,165,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat itu adl layan masyarakat jd masyarakat hrs lbh istimewa dr jabat paling tidak yg sama lah jgn beda bos,Law,Contra
165,166,luhut minta beda karantina jabat dan orang biasa tak masalah,kalo bikin bijak yg bener ngapa si lo najis,Law,Contra
166,167,luhut minta beda karantina jabat dan orang biasa tak masalah,virus pinter banget ya bisa beda jabat istana kodok,Law,Contra Sarcasm
167,168,luhut minta beda karantina jabat dan orang biasa tak masalah,dasar bangsat,Law,Contra
168,169,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat karantina pake duit rakyat rakyat karantina pake duit jabat,Law,Contra Sarcasm
169,170,luhut minta beda karantina jabat dan orang biasa tak masalah,manusia bisa bedain tapi virus manabisa lord,Law,Contra
170,171,luhut minta beda karantina jabat dan orang biasa tak masalah,iya ga masalah yg bayar pajak utama yang hidup dr uang pajak mati ngono ya ora urus,Law,Contra Sarcasm
171,172,luhut minta beda karantina jabat dan orang biasa tak masalah,omicron permisi pak apakah bapak jabat kalau jabat saya gak akan nempel sama bapak omicron yang santun emojiemojiemoji,Law,Contra Sarcasm
172,173,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat dari suara rakyat uang rakyat,Law,Uncorrelated
173,174,luhut minta beda karantina jabat dan orang biasa tak masalah,suka2 kau,Law,Neutral
174,175,luhut minta beda karantina jabat dan orang biasa tak masalah,mmmhhh,Law,Neutral
175,176,luhut minta beda karantina jabat dan orang biasa tak masalah,nyata ada kelas nya ya,Law,Neutral
176,177,luhut minta beda karantina jabat dan orang biasa tak masalah,hukum tajam bawah tumpul atas begitu ruwetnesia,Law,Uncorrelated
177,178,luhut minta beda karantina jabat dan orang biasa tak masalah,zalim yang terus terang,Law,Contra
178,179,luhut minta beda karantina jabat dan orang biasa tak masalah,fafifu waseswos,Law,Uncorrelated
179,180,luhut minta beda karantina jabat dan orang biasa tak masalah,ya kan omicron nggak akan masuk lewat dispensasi eh sudah ya oops,Law,Contra Sarcasm
180,181,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat di gaji pake duit rakyat karantina di tempat mewah di bayarin lagi ama negara harus karantina jabat dan rakyat harus di samaratakan biar jabat tau rasa jadi rakyat yang selalu di tindas oleh jabat,Law,Contra
181,182,luhut minta beda karantina jabat dan orang biasa tak masalah,manasuka pak mumpung bom mati puas2in lah,Law,Contra Sarcasm
182,183,luhut minta beda karantina jabat dan orang biasa tak masalah,mantap sangat sesuai dengan amal bhineka tunggal ika berbeda2 tapi tetap satu emojiemojiemoji,Law,Contra Sarcasm
183,184,luhut minta beda karantina jabat dan orang biasa tak masalah,nampak sudah senjang sosial di negri wakanda yg ktnya pancasila,Law,Contra
184,185,luhut minta beda karantina jabat dan orang biasa tak masalah,gpp asal para jabat dari awal jabat tidak gaji krn gaji kan dari duit orang biasa rakyat,Law,Neutral
185,186,luhut minta beda karantina jabat dan orang biasa tak masalah,terus mana sila ke5 dari pancasila,Law,Contra
186,187,luhut minta beda karantina jabat dan orang biasa tak masalah,gak mau gak mau mau tetap masalah,Law,Contra
187,188,perkosa hingga hamil tekan lalu bunuh diri bagi yang malah salah korban dengan bagai hakim tolong simpan dulu masturbasi ego ingin untuk rasa lebih suci dari orang lain sungguh amat tidak bantu,ambil hikmah jgn lsg rasa bangga punya pacar seragam institusi apa itu jgn karna seragam lalu samping akhlak org sebut jika dia pasang yg baik maka dia akan jaga bukan sebalikny,Social,Neutral
188,189,perkosa hingga hamil tekan lalu bunuh diri bagi yang malah salah korban dengan bagai hakim tolong simpan dulu masturbasi ego ingin untuk rasa lebih suci dari orang lain sungguh amat tidak bantu,dia bukan bunuh diri tapi bunuh psikis,Social,Neutral
189,190,perkosa hingga hamil tekan lalu bunuh diri bagi yang malah salah korban dengan bagai hakim tolong simpan dulu masturbasi ego ingin untuk rasa lebih suci dari orang lain sungguh amat tidak bantu,serah mau dia hamil grgr mau sama mau ato beneran perkosa janggal ibu yg bilang dia sakitstress juga terlalu tolong kasi empati ke korban kita ga tau berat apa hidup sampe dia ga tahan lagi bagaimana cara dia mati itu urus dia dan tuhan,Social,Pro
190,191,perkosa hingga hamil tekan lalu bunuh diri bagi yang malah salah korban dengan bagai hakim tolong simpan dulu masturbasi ego ingin untuk rasa lebih suci dari orang lain sungguh amat tidak bantu,1 laku hrus hukum pecat dan tidak ada uang pensiun 2 trauma healing bagi keluarga utama ibu 3 instropeksi seluruh dari polri ke semua jajar ketat seleksi enough utk lindung belakang kata oknum 4 penting didik agama adab dan ilmu,Social,Neutral
191,192,perkosa hingga hamil tekan lalu bunuh diri bagi yang malah salah korban dengan bagai hakim tolong simpan dulu masturbasi ego ingin untuk rasa lebih suci dari orang lain sungguh amat tidak bantu,orang2 yg gapernah ngalamin leceh dan depresi banyak cuma bisa nyalahin korban memang utama masalah iman pasti bilang depresi krn iman gak kuat,Social,Neutral
192,193,perkosa hingga hamil tekan lalu bunuh diri bagi yang malah salah korban dengan bagai hakim tolong simpan dulu masturbasi ego ingin untuk rasa lebih suci dari orang lain sungguh amat tidak bantu,gak yakin kasus sampe tuntas pling cuma di copot jabatannyadimutasi sangat ragu sama hukum tentang sexsual di 62 apa lagi yg seragam yg jerat kasus,Social,Neutral
